5  | Republic of Ingushetia                | Республика Ингушетия                     | 06 | 02:00:00
7  | Republic of Kalmykia                  | Республика Калмыкия                      | 08 | 02:00:00
9  | Republic of Karelia                   | Республика Карелия                       | 10 | 02:00:00
10 | Komi Republic                         | Республика Коми                          | 11 | 02:00:00
11 | Republic of Crimea                    | Республика Крым                          | 91 | 02:00:00
12 | Mari El Republic                      | Республика Марий Эл                      | 12 | 02:00:00
13 | Republic of Mordovia                  | Республика Мордовия                      | 13 | 02:00:00
14 | Republic of Sakha (Yakutia)           | Республика Саха (Якутия)                 | 14 | 08:00:00
15 | Republic of North Ossetia – Alania    | Республика Северная Осетия — Алания      | 15 | 02:00:00
16 | Republic of Tatarstan                 | Республика Татарстан                     | 16 | 02:00:00
17 | Tyva Republic                         | Республика Тыва                          | 17 | 06:00:00
19 | Republic of Khakassia                 | Республика Хакасия                       | 19 | 06:00:00
62 | Rostov Oblast                         | Ростовская область                       | 61 | 02:00:00
63 | Ryazan Oblast                         | Рязанская область                        | 62 | 02:00:00
64 | Samara Oblast                         | Самарская область                        | 63 | 03:00:00
78 | Saint Petersburg                      | Санкт-Петербург                          | 78 | 02:00:00
65 | Saratov Oblast                        | Саратовская область                      | 64 | 03:00:00
66 | Sakhalin Oblast                       | Сахалинская область                      | 65 | 10:00:00
67 | Sverdlovsk Oblast                     | Свердловская область                     | 66 | 04:00:00
79 | Sevastopol                            | Севастополь                              | 92 | 02:00:00
68 | Smolensk Oblast                       | Смоленская область                       | 67 | 02:00:00
29 | Stavropol Krai                        | Ставропольский край                      | 26 | 02:00:00
69 | Tambov Oblast                         | Тамбовская область                       | 68 | 02:00:00
70 | Tver Oblast                           | Тверская область                         | 69 | 02:00:00
71 | Tomsk Oblast                          | Томская область                          | 70 | 06:00:00
72 | Tula Oblast                           | Тульская область                         | 71 | 02:00:00
73 | Tyumen Oblast                         | Тюменская область                        | 72 | 04:00:00
18 | Udmurt Republic                       | Удмуртская Республика                    | 18 | 03:00:00
74 | Ulyanovsk Oblast                      | Ульяновская область                      | 73 | 03:00:00
30 | Khabarovsk Krai                       | Хабаровский край                         | 27 | 09:00:00
82 | Khanty-Mansi Autonomous Okrug – Yugra | Ханты-Мансийский автономный округ — Югра | 86 | 04:00:00
75 | Chelyabinsk Oblast                    | Челябинская область                      | 74 | 04:00:00
20 | Chechen Republic                      | Чеченская Республика                     | 20 | 02:00:00
21 | Chuvash Republic                      | Чувашская Республика                     | 21 | 02:00:00
83 | Chukotka Autonomous Okrug             | Чукотский автономный округ               | 87 | 11:00:00
84 | Yamalo-Nenets Autonomous Okrug        | Ямало-Ненецкий автономный округ          | 89 | 04:00:00
76 | Yaroslavl Oblast                      | Ярославская область                      | 76 | 02:00:00
